time,eevp,votes_total,votes_delta,share_biden,share_trump,share_other,delta_biden,delta_trump,delta_other
2020-11-04T10:00:04Z,0,0,0,0,0,1,0,0,0
2020-11-04T01:14:54Z,0,615,615,0.615,0.345,0.04,378,212,24
2020-11-04T01:22:54Z,0,3110,2495,0.595,0.376,0.029,1472,957,65
2020-11-04T01:25:26Z,0,3301,191,0.605,0.365,0.03,146,35,8
2020-11-04T01:29:06Z,0,9194,5893,0.693,0.28,0.027,4374,1369,149
2020-11-04T01:32:01Z,0,16873,7679,0.674,0.301,0.024,5000,2504,156
2020-11-04T01:47:25Z,1,29334,12461,0.687,0.289,0.024,8780,3398,299
2020-11-04T01:48:09Z,1,31617,2283,0.687,0.29,0.022,1568,691,-8
2020-11-04T01:54:08Z,1,35864,4247,0.668,0.309,0.022,2236,1913,93
2020-11-04T01:54:18Z,1,41341,5477,0.638,0.339,0.022,2418,2932,120
2020-11-04T01:54:47Z,1,48533,7192,0.641,0.336,0.022,4734,2292,158
2020-11-04T01:55:37Z,2,62238,13705,0.649,0.327,0.024,9282,4044,425
2020-11-04T01:56:40Z,2,70085,7847,0.619,0.357,0.024,2990,4668,188
2020-11-04T01:56:40Z,2,70085,0,0.619,0.357,0.024,0,0,0
2020-11-04T01:56:57Z,2,73024,2939,0.616,0.36,0.024,1600,1268,70
2020-11-04T01:57:15Z,2,79829,6805,0.617,0.36,0.023,4271,2449,83
2020-11-04T01:58:00Z,2,82302,2473,0.611,0.365,0.024,1032,1301,139
2020-11-04T01:58:24Z,2,85186,2884,0.616,0.359,0.025,2188,541,154
2020-11-04T02:02:28Z,3,94631,9445,0.608,0.368,0.024,5061,4242,141
2020-11-04T02:03:36Z,3,116177,21546,0.645,0.332,0.022,17398,3746,284
2020-11-04T02:04:25Z,3,119506,3329,0.636,0.341,0.022,1071,2180,73
2020-11-04T02:05:02Z,3,126343,6837,0.644,0.334,0.022,5359,1447,150
2020-11-04T02:10:27Z,3,128657,2314,0.646,0.331,0.022,1747,386,50
